epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1501.76,0.9915,0.55596,1.02264,0.83482,0.77639,0.87965,0.58924,1.09886,0.64825,1.10642,0.000421019,0.000421019,0.000421019
59,1527.46,0.98663,0.55105,1.0171,0.80636,0.81166,0.87811,0.59755,1.08578,0.64668,1.09347,0.000403335,0.000403335,0.000403335
60,1553.69,0.98191,0.55921,1.00814,0.78827,0.81791,0.85885,0.58449,1.09947,0.66002,1.10114,0.000385651,0.000385651,0.000385651
61,1580.69,0.97935,0.55053,1.0091,0.81955,0.80039,0.85977,0.58002,1.08493,0.65301,1.09201,0.000367967,0.000367967,0.000367967
62,1606.92,0.98339,0.54665,1.01148,0.82181,0.81163,0.87411,0.5946,1.08999,0.65333,1.09345,0.000350284,0.000350284,0.000350284
63,1633.43,0.96015,0.53768,1.00804,0.83378,0.78508,0.87692,0.59513,1.09925,0.65106,1.10148,0.0003326,0.0003326,0.0003326
64,1659.21,0.96639,0.54348,1.01098,0.81945,0.81659,0.87758,0.59717,1.08131,0.63387,1.09966,0.000314916,0.000314916,0.000314916
65,1683.98,0.95869,0.53885,1.00183,0.84319,0.7831,0.86003,0.59252,1.07858,0.65012,1.09362,0.000297232,0.000297232,0.000297232
66,1710.32,0.96538,0.53072,1.00365,0.8376,0.79479,0.8733,0.59274,1.10612,0.64387,1.10973,0.000279548,0.000279548,0.000279548
67,1736.15,0.95643,0.5284,0.99862,0.80192,0.81434,0.85375,0.58441,1.07983,0.64016,1.09189,0.000261864,0.000261864,0.000261864
68,1761.2,0.94867,0.5255,1.00039,0.8017,0.81453,0.86545,0.59059,1.10056,0.65834,1.10496,0.00024418,0.00024418,0.00024418
69,1787.25,0.94487,0.52106,0.99811,0.84362,0.78387,0.8638,0.58559,1.07849,0.63611,1.0999,0.000226497,0.000226497,0.000226497
70,1813.35,0.9366,0.52126,0.99921,0.81023,0.79536,0.84578,0.5768,1.08827,0.65531,1.09799,0.000208813,0.000208813,0.000208813
71,1837.7,0.91087,0.4794,0.98596,0.8107,0.80192,0.84743,0.5794,1.07783,0.6439,1.09608,0.000191129,0.000191129,0.000191129
72,1861.28,0.90136,0.48049,0.98452,0.83039,0.79358,0.86072,0.58576,1.08315,0.63327,1.09521,0.000173445,0.000173445,0.000173445
73,1884.68,0.89567,0.47467,0.98148,0.8096,0.81595,0.85802,0.58582,1.07785,0.64225,1.0917,0.000155761,0.000155761,0.000155761
74,1908.09,0.88762,0.46723,0.97759,0.8184,0.81947,0.85876,0.58734,1.07922,0.64989,1.09646,0.000138077,0.000138077,0.000138077
75,1931.45,0.88133,0.46685,0.97594,0.81001,0.81643,0.85336,0.58509,1.07599,0.64274,1.09407,0.000120393,0.000120393,0.000120393
76,1954.98,0.87417,0.4605,0.97319,0.83006,0.79756,0.85987,0.59067,1.06541,0.63965,1.0855,0.000102709,0.000102709,0.000102709
77,1978.44,0.87271,0.45349,0.97188,0.8386,0.80348,0.86037,0.59296,1.06472,0.63458,1.08716,8.50255e-05,8.50255e-05,8.50255e-05
78,2002.29,0.86363,0.4483,0.97022,0.82321,0.80932,0.85517,0.58993,1.07053,0.63798,1.09084,6.73416e-05,6.73416e-05,6.73416e-05
79,2025.66,0.85998,0.45002,0.96595,0.84649,0.78239,0.8497,0.58902,1.06681,0.64165,1.08942,4.96578e-05,4.96578e-05,4.96578e-05
80,2049.48,0.86402,0.44816,0.96928,0.82313,0.80603,0.85195,0.58772,1.07423,0.6352,1.09474,3.19739e-05,3.19739e-05,3.19739e-05
